"sub","group"
"sub-01","Control"
"sub-02","Control"
"sub-03",NA
"sub-04","Control"
"sub-05","Experimental"
"sub-06","Experimental"
"sub-07","Experimental"
"sub-08","Control"
"sub-09",NA
"sub-10","Control"
"sub-11","Experimental"
"sub-12","Control"
"sub-13","Control"
"sub-14","Experimental"
"sub-15","Control"
"sub-16","Experimental"
"sub-17",NA
"sub-18","Experimental"
"sub-19","Experimental"
"sub-20","Control"
"sub-21","Experimental"
"sub-22",NA
"sub-23","Experimental"
"sub-24","Experimental"
"sub-25","Control"
"sub-26","Control"
"sub-27","Experimental"
"sub-28","Control"
"sub-29","Experimental"
"sub-30","Control"
"sub-31",NA
"sub-32",NA
"sub-33","Experimental"
"sub-34",NA
"sub-35","Control"
"sub-36","Control"
"sub-37","Control"
"sub-39","Experimental"
"sub-41","Control"
"sub-42","Control"
"sub-43","Control"
"sub-44","Experimental"
"sub-45","Experimental"
"sub-46","Control"
"sub-47","Experimental"
"sub-48","Experimental"
"sub-50","Control"
"sub-51","Experimental"
"sub-52","Experimental"
"sub-53","Control"
"sub-54","Experimental"
"sub-55","Control"
"sub-56","Experimental"
